模型,机型,任务名称,数据集编号,任务类型,step推理数量,关节 MSE（gripper正常）,ALL MSE（gripper正常）
GR00T N1.6/checkpoint-390000,乐聚KUAVO,打开抽屉放入物体后关闭,ce04377a52344e58aae94f674642bc04,双臂,默认最大,0.000968701,0.004776623
GR00T N1.6/checkpoint-1,松灵Aloha,蔬菜块入碗与容器居中,ec37fad6f7364a99916be6ea31597232,,,0.133895,0.159897
GR00T N1.6/checkpoint-390000,松灵Aloha,蔬菜块入碗与容器居中,ec37fad6f7364a99916be6ea31597232,,,0.000616,0.001871
GR00T N1.6/checkpoint-1,松灵Aloha,抽屉筷子取放与餐具对齐,1d7fe9a4cacd4f66b689fd931356c0e7,,,0.134391,0.151264
GR00T N1.6/checkpoint-390000,松灵Aloha,抽屉筷子取放与餐具对齐,1d7fe9a4cacd4f66b689fd931356c0e7,,,0.001479,0.002772
GR00T N1.6/checkpoint-1,松灵Aloha,草莓入盘并叠杯,06911227af864ee4be3665b01ba48de1,,,0.133619,0.158443
GR00T N1.6/checkpoint-390000,松灵Aloha,草莓入盘并叠杯,06911227af864ee4be3665b01ba48de1,,,0.000752,0.002277
GR00T N1.6/checkpoint-1,Franka FR3,叠杯子,0f25153abb0d4101a25f155b8ce9b25d,双臂,3000,0.051757429,0.086842704
GR00T N1.6/checkpoint-390000,Franka FR3,叠杯子,0f25153abb0d4101a25f155b8ce9b25d,双臂,3000,0.000509795,0.002837172
GR00T N1.6/checkpoint-1,Franka FR3,物品整理,66c3ffc1521342ad9f9e1cd2fb3439ce,双臂,3000,0.038663179,0.074910647
GR00T N1.6/checkpoint-390000,Franka FR3,物品整理,66c3ffc1521342ad9f9e1cd2fb3439ce,双臂,3000,0.000730694,0.005935058
GR00T N1.6/checkpoint-1,Franka FR3,物品放置_玩具鸭子,9be0f4a5ab99436999e92001c48358fa,双臂,3000,0.034437361,0.071658184
GR00T N1.6/checkpoint-390000,Franka FR3,物品放置_玩具鸭子,9be0f4a5ab99436999e92001c48358fa,双臂,3000,0.000892161,0.004802934
GR00T N1.6/checkpoint-1,星尘智能S1,碗放盘中_桌面背景泛化_绿色,a52b8a1f1f6b4f27aa0df348cee0876f,单臂_右,3000,0.1346,0.1598
GR00T N1.6/checkpoint-390000,星尘智能S1,碗放盘中_桌面背景泛化_绿色,a52b8a1f1f6b4f27aa0df348cee0876f,单臂_右,3000,0.0007,0.0039
GR00T N1.6/checkpoint-1,星尘智能S1,预 - 汤匙入碗_桌面背景泛化_绿格子,698f93b7a4754ccbae02f5ab897579bc,单臂_右,3000,0.135231981,0.155694288
GR00T N1.6/checkpoint-390000,星尘智能S1,预 - 汤匙入碗_桌面背景泛化_绿格子,698f93b7a4754ccbae02f5ab897579bc,单臂_右,3000,0.000891657,0.007152885
